,LSTM
0,0.11992560982163093
1,0.1983081641323029
2,0.10827073825633028
3,0.10375627649519104
4,0.09155039569612007
5,0.07684102886254132
6,0.19542454554812072
7,0.20637805477121252
8,0.23758349829485792
9,0.21490635887377446
